dialogue_id,movie_title,movie_id,character_name,house,species,dialogue,dialogue_length
178,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Well, some say he died. Codswallop in my opinion. Nope, I reckon he's out there, still, too tired to go on. But one thing's absolutely certain. Something about you stumped him that night. That's why you're famous. That's why everybody knows your name. You're the boy who lived.",277
179,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"What're you looking at?  Blimey, is that the time? Sorry, Harry, I'm gonna have to leave you. Dumbledore'll be wanting his- well, he'll be wanting to see me. Now, uh, your train leaves in 10 minutes. Here's your ticket.  Stick to it, Harry that's very important. Stick to your ticket.",284
180,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"Platform 9&¾? But, Hagrid, there must be a mistake. This says Platform 9&¾. There's no such thing...is there?",109
181,Harry Potter and the Philosopher's Stone,1,Man,Unknown,Human,Sorry.,6
182,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"Excuse me, excuse me.",21
183,Harry Potter and the Philosopher's Stone,1,Old man,Unknown,Human,"Right on your left, ma'am.",26
184,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"Excuse me, sir. Can you tell me where I might find Platform 9&¾?",64
185,Harry Potter and the Philosopher's Stone,1,Old man,Unknown,Human,"9&¾? Think you're being funny, do ya?",37
186,Harry Potter and the Philosopher's Stone,1,Molly Weasley,Gryffindor,Human,"It's the same year after year. Always packed with Muggles, of course.",69
187,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,Muggles?,8
188,Harry Potter and the Philosopher's Stone,1,Molly Weasley,Gryffindor,Human,"Come on. Platform 9&¾ this way! All right, Percy, you first.",60
189,Harry Potter and the Philosopher's Stone,1,Molly Weasley,Gryffindor,Human,"Fred, you next.",15
190,Harry Potter and the Philosopher's Stone,1,George Weasley,Gryffindor,Human,"He's not Fred, I am!",20
191,Harry Potter and the Philosopher's Stone,1,Fred Weasley,Gryffindor,Human,"Honestly, woman, you call yourself our mother.",46
192,Harry Potter and the Philosopher's Stone,1,Molly Weasley,Gryffindor,Human,"Oh, I'm sorry, George.",22
193,Harry Potter and the Philosopher's Stone,1,Fred Weasley,Gryffindor,Human,I'm only joking. I am Fred.,27
